"descricao_cargo","desc_sit_tot_turno","count"
"VICE-PRESIDENTE","2º TURNO",2
"1º SUPLENTE","NÃO ELEITO",148
"1º SUPLENTE","#NULO#",34
"DEPUTADO FEDERAL","SUPLENTE",583
"GOVERNADOR","NÃO ELEITO",7
"SENADOR","#NULO#",5
"VICE-GOVERNADOR","2º TURNO",28
"DEPUTADO DISTRITAL","SUPLENTE",79
"2º SUPLENTE","ELEITO",27
"VICE-GOVERNADOR","ELEITO",13
"GOVERNADOR","#NULO#",4
"SENADOR","NÃO ELEITO",7
"DEPUTADO ESTADUAL","SUPLENTE",1953
"DEPUTADO DISTRITAL","NÃO ELEITO",33
"VICE-GOVERNADOR","NÃO ELEITO",128
"2º SUPLENTE","NÃO ELEITO",148
"DEPUTADO ESTADUAL","NÃO ELEITO",618
"DEPUTADO FEDERAL","#NULO#",632
"DEPUTADO DISTRITAL","#NULO#",29
"VICE-GOVERNADOR","#NULO#",17
"2º SUPLENTE","#NULO#",39
"DEPUTADO FEDERAL","NÃO ELEITO",385
"DEPUTADO ESTADUAL","#NULO#",1455
"VICE-PRESIDENTE","NÃO ELEITO",9
"1º SUPLENTE","ELEITO",27
"VICE-PRESIDENTE","#NULO#",1
